,Week,Date,Home Team,Away Team,Spread,Opening Spread,Totals,home_win,away_win,inter_spread_1,inter_spread_2,inter_spread_3,Home Points,Away Points,clean_breaks_home,clean_breaks_away,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,penalties_conceded,Turnover,home_turnovers_conceded,away_turnovers_conceded
90,7.0,2023-12-02,Bulls,Sharks,-8.5,-7.5,54.5,1.3,3.5,-7.5,,,44.0,10.0,9.0,6.0,8.0,4.0,14.0,10.0,,,4,-4,,
91,7.0,2023-12-02,Cardiff Blues,Scarlets,-8.5,-7.5,48.5,1.3,3.5,-7.5,,,23.0,29.0,4.0,10.0,4.0,5.0,6.0,10.0,,,-4,1,,
92,7.0,2023-12-02,Lions,Dragons,-25.5,-28.5,60.5,1.015,15.0,-28.5,,,49.0,24.0,16.0,13.0,10.0,5.0,6.0,11.0,,,-5,-5,,
93,7.0,2023-12-02,Stormers,Zebre,-33.5,-33.5,64.5,1.004,26.0,-33.5,,,31.0,7.0,9.0,7.0,3.0,4.0,8.0,9.0,,,-1,1,,
94,7.0,2023-12-02,Ulster,Edinburgh,-11.5,-10.5,45.5,1.2,4.5,-10.5,,,24.0,27.0,4.0,1.0,3.0,10.0,9.0,11.0,,,-2,7,,
95,7.0,2023-12-02,Benetton,Ospreys,-14.5,-6.5,45.5,1.14,5.5,-6.5,,,18.0,13.0,3.0,3.0,2.0,5.0,3.0,5.0,,,-2,3,,
96,7.0,2023-12-02,Connacht,Leinster,3.5,8.5,47.5,2.3,1.61,8.5,,,22.0,24.0,11.0,6.0,5.0,5.0,9.0,11.0,,,-2,0,,
97,8.0,2023-12-22,Glasgow Warriors,Edinburgh,-5.5,-7.5,41.5,1.44,2.75,-7.5,,,,,,,,,,,,,0,0,,
98,8.0,2023-12-22,Ulster,Connacht,-9.5,-11.5,44.5,1.28,3.75,-11.5,,,,,,,,,,,,,0,0,,
99,8.0,2023-12-23,Zebre,Benetton,9.5,10.5,,,,,,,,,,,,,,,,,0,0,,
100,8.0,2023-12-23,Stormers,Bulls,-1.5,-3.5,,,,,,,,,,,,,,,,,0,0,,
101,8.0,2023-12-26,Cardiff Blues,Dragons,-9.5,-9.5,,,,,,,,,,,,,,,,,0,0,,
102,8.0,2023-12-26,Scarlets,Ospreys,-1.5,-1.5,,,,,,,,,,,,,,,,,0,0,,
103,8.0,2023-12-26,Munster,Leinster,4.5,3.5,,,,,,,,,,,,,,,,,0,0,,
104,8.0,2024-01-06,Sharks,Lions,,,,,,,,,,,,,,,,,,,0,0,,
105,,,,,,,,,,,,,,,,,,,,,,,0,0,,
106,,,,,,,,,,,,,,,,,,,,,,,0,0,,
107,,,,,,,,,,,,,,,,,,,,,,,0,0,,
108,,,,,,,,,,,,,,,,,,,,,,,0,0,,
109,,,,,,,,,,,,,,,,,,,,,,,0,0,,
110,,,,,,,,,,,,,,,,,,,,,,,0,0,,
111,,,,,,,,,,,,,,,,,,,,,,,0,0,,
112,,,,,,,,,,,,,,,,,,,,,,,0,0,,
113,,,,,,,,,,,,,,,,,,,,,,,0,0,,
114,,,,,,,,,,,,,,,,,,,,,,,0,0,,
115,,,,,,,,,,,,,,,,,,,,,,,0,0,,
116,,,,,,,,,,,,,,,,,,,,,,,0,0,,
117,,,,,,,,,,,,,,,,,,,,,,,0,0,,
118,,,,,,,,,,,,,,,,,,,,,,,0,0,,
119,,,,,,,,,,,,,,,,,,,,,,,0,0,,
120,,,,,,,,,,,,,,,,,,,,,,,0,0,,
121,,,,,,,,,,,,,,,,,,,,,,,0,0,,
122,,,,,,,,,,,,,,,,,,,,,,,0,0,,
123,,,,,,,,,,,,,,,,,,,,,,,0,0,,
124,,,,,,,,,,,,,,,,,,,,,,,0,0,,
125,,,,,,,,,,,,,,,,,,,,,,,0,0,,
126,,,,,,,,,,,,,,,,,,,,,,,0,0,,
127,,,,,,,,,,,,,,,,,,,,,,,0,0,,
128,,,,,,,,,,,,,,,,,,,,,,,0,0,,
129,,,,,,,,,,,,,,,,,,,,,,,0,0,,
130,,,,,,,,,,,,,,,,,,,,,,,0,0,,
131,,,,,,,,,,,,,,,,,,,,,,,0,0,,
132,,,,,,,,,,,,,,,,,,,,,,,0,0,,
133,,,,,,,,,,,,,,,,,,,,,,,0,0,,
134,,,,,,,,,,,,,,,,,,,,,,,0,0,,
135,,,,,,,,,,,,,,,,,,,,,,,0,0,,
136,,,,,,,,,,,,,,,,,,,,,,,0,0,,
137,,,,,,,,,,,,,,,,,,,,,,,0,0,,
138,,,,,,,,,,,,,,,,,,,,,,,0,0,,
139,,,,,,,,,,,,,,,,,,,,,,,0,0,,
140,,,,,,,,,,,,,,,,,,,,,,,0,0,,
141,,,,,,,,,,,,,,,,,,,,,,,0,0,,
142,,,,,,,,,,,,,,,,,,,,,,,0,0,,
143,,,,,,,,,,,,,,,,,,,,,,,0,0,,
144,,,,,,,,,,,,,,,,,,,,,,,0,0,,
145,,,,,,,,,,,,,,,,,,,,,,,0,0,,
146,,,,,,,,,,,,,,,,,,,,,,,0,0,,
147,,,,,,,,,,,,,,,,,,,,,,,0,0,,
148,,,,,,,,,,,,,,,,,,,,,,,0,0,,
149,,,,,,,,,,,,,,,,,,,,,,,0,0,,
150,,,,,,,,,,,,,,,,,,,,,,,0,0,,
151,,,,,,,,,,,,,,,,,,,,,,,0,0,,
152,,,,,,,,,,,,,,,,,,,,,,,0,0,,
153,,,,,,,,,,,,,,,,,,,,,,,0,0,,
154,,,,,,,,,,,,,,,,,,,,,,,0,0,,
155,,,,,,,,,,,,,,,,,,,,,,,0,0,,
156,,,,,,,,,,,,,,,,,,,,,,,0,0,,
157,,,,,,,,,,,,,,,,,,,,,,,0,0,,
158,,,,,,,,,,,,,,,,,,,,,,,0,0,,
159,,,,,,,,,,,,,,,,,,,,,,,0,0,,
160,,,,,,,,,,,,,,,,,,,,,,,0,0,,
161,,,,,,,,,,,,,,,,,,,,,,,0,0,,
162,,,,,,,,,,,,,,,,,,,,,,,0,0,,
163,,,,,,,,,,,,,,,,,,,,,,,0,0,,
164,,,,,,,,,,,,,,,,,,,,,,,0,0,,
165,,,,,,,,,,,,,,,,,,,,,,,0,0,,
166,,,,,,,,,,,,,,,,,,,,,,,0,0,,
167,,,,,,,,,,,,,,,,,,,,,,,0,0,,
168,,,,,,,,,,,,,,,,,,,,,,,0,0,,
169,,,,,,,,,,,,,,,,,,,,,,,0,0,,
170,,,,,,,,,,,,,,,,,,,,,,,0,0,,
171,,,,,,,,,,,,,,,,,,,,,,,0,0,,
172,,,,,,,,,,,,,,,,,,,,,,,0,0,,
173,,,,,,,,,,,,,,,,,,,,,,,0,0,,
174,,,,,,,,,,,,,,,,,,,,,,,0,0,,
175,,,,,,,,,,,,,,,,,,,,,,,0,0,,
176,,,,,,,,,,,,,,,,,,,,,,,0,0,,
177,,,,,,,,,,,,,,,,,,,,,,,0,0,,
178,,,,,,,,,,,,,,,,,,,,,,,0,0,,
179,,,,,,,,,,,,,,,,,,,,,,,0,0,,
180,,,,,,,,,,,,,,,,,,,,,,,0,0,,
181,,,,,,,,,,,,,,,,,,,,,,,0,0,,
182,,,,,,,,,,,,,,,,,,,,,,,0,0,,
183,,,,,,,,,,,,,,,,,,,,,,,0,0,,
184,,,,,,,,,,,,,,,,,,,,,,,0,0,,
185,,,,,,,,,,,,,,,,,,,,,,,0,0,,
186,,,,,,,,,,,,,,,,,,,,,,,0,0,,
187,,,,,,,,,,,,,,,,,,,,,,,0,0,,
188,,,,,,,,,,,,,,,,,,,,,,,0,0,,
189,,,,,,,,,,,,,,,,,,,,,,,0,0,,
190,,,,,,,,,,,,,,,,,,,,,,,0,0,,
191,,,,,,,,,,,,,,,,,,,,,,,0,0,,
192,,,,,,,,,,,,,,,,,,,,,,,0,0,,
193,,,,,,,,,,,,,,,,,,,,,,,0,0,,
194,,,,,,,,,,,,,,,,,,,,,,,0,0,,
195,,,,,,,,,,,,,,,,,,,,,,,0,0,,
196,,,,,,,,,,,,,,,,,,,,,,,0,0,,
197,,,,,,,,,,,,,,,,,,,,,,,0,0,,
198,,,,,,,,,,,,,,,,,,,,,,,0,0,,
199,,,,,,,,,,,,,,,,,,,,,,,0,0,,
200,,,,,,,,,,,,,,,,,,,,,,,0,0,,
201,,,,,,,,,,,,,,,,,,,,,,,0,0,,
202,,,,,,,,,,,,,,,,,,,,,,,0,0,,
203,,,,,,,,,,,,,,,,,,,,,,,0,0,,
204,,,,,,,,,,,,,,,,,,,,,,,0,0,,
205,,,,,,,,,,,,,,,,,,,,,,,0,0,,
206,,,,,,,,,,,,,,,,,,,,,,,0,0,,
207,,,,,,,,,,,,,,,,,,,,,,,0,0,,
208,,,,,,,,,,,,,,,,,,,,,,,0,0,,
209,,,,,,,,,,,,,,,,,,,,,,,0,0,,
210,,,,,,,,,,,,,,,,,,,,,,,0,0,,
211,,,,,,,,,,,,,,,,,,,,,,,0,0,,
212,,,,,,,,,,,,,,,,,,,,,,,0,0,,
213,,,,,,,,,,,,,,,,,,,,,,,0,0,,
214,,,,,,,,,,,,,,,,,,,,,,,0,0,,
215,,,,,,,,,,,,,,,,,,,,,,,0,0,,
216,,,,,,,,,,,,,,,,,,,,,,,0,0,,
217,,,,,,,,,,,,,,,,,,,,,,,0,0,,
218,,,,,,,,,,,,,,,,,,,,,,,0,0,,
219,,,,,,,,,,,,,,,,,,,,,,,0,0,,
220,,,,,,,,,,,,,,,,,,,,,,,0,0,,
221,,,,,,,,,,,,,,,,,,,,,,,0,0,,
222,,,,,,,,,,,,,,,,,,,,,,,0,0,,
223,,,,,,,,,,,,,,,,,,,,,,,0,0,,
224,,,,,,,,,,,,,,,,,,,,,,,0,0,,
225,,,,,,,,,,,,,,,,,,,,,,,0,0,,
226,,,,,,,,,,,,,,,,,,,,,,,0,0,,
227,,,,,,,,,,,,,,,,,,,,,,,0,0,,
228,,,,,,,,,,,,,,,,,,,,,,,0,0,,
229,,,,,,,,,,,,,,,,,,,,,,,0,0,,
230,,,,,,,,,,,,,,,,,,,,,,,0,0,,
231,,,,,,,,,,,,,,,,,,,,,,,0,0,,
232,,,,,,,,,,,,,,,,,,,,,,,0,0,,
233,,,,,,,,,,,,,,,,,,,,,,,0,0,,
234,,,,,,,,,,,,,,,,,,,,,,,0,0,,
235,,,,,,,,,,,,,,,,,,,,,,,0,0,,
